Date,Close,Volume,Open,High,Low
10/30/2014,74.11,83098240,75.05,75.35,72.9
10/31/2014,74.99,44472280,74.93,75.7,74.45
11/3/2014,73.88,40529830,75.47,75.52,73.7
11/4/2014,75.76,39202820,74.23,75.77,73.65
11/5/2014,74.83,35853620,76.51,76.8,74.42
11/6/2014,75.26,21321380,74.89,75.6,74.31
11/7/2014,75.6,20757430,75.39,75.86,75.02
11/10/2014,75,21526460,75.36,75.48,74.61
11/11/2014,74.61,18702040,74.95,74.98,74.03
11/12/2014,74.72,26497580,74.28,75.14,73.54
11/13/2014,74.25,26408940,74.74,75.24,73.64
11/14/2014,74.88,19416910,74.27,74.93,74.04
11/17/2014,74.24,28669580,74.88,75.66,73.88
11/18/2014,74.34,20678330,74.45,74.8,73.9
11/19/2014,73.33,25401630,74.01,74.54,73.11
11/20/2014,73.6,19128520,72.8,73.99,72.51
11/21/2014,73.75,23039660,74.5,74.5,73.5
11/24/2014,74.01,22080500,73.54,74.35,73.35
11/25/2014,75.63,32199750,74.21,75.74,74.13
11/26/2014,77.62,32686400,75.53,77.78,75.51
11/28/2014,77.7,15992040,77.67,78.27,77.23
12/1/2014,75.1,31747970,77.26,77.31,74.8
12/2/2014,75.46,16750770,75.33,75.91,75.04
12/3/2014,74.88,15936750,75.38,75.73,74.4
12/4/2014,75.24,14369110,74.83,75.55,74.66
12/5/2014,76.36,24273070,75.8,76.76,75.36
12/8/2014,76.52,25674150,76.18,77.25,75.4
12/9/2014,76.84,25307530,75.2,76.93,74.78
12/10/2014,76.18,32168400,76.65,77.55,76.07
12/11/2014,77.73,33465080,76.52,78.52,76.48
12/12/2014,77.83,28049760,77.16,78.88,77.02
12/15/2014,76.99,29341660,78.46,78.58,76.56
12/16/2014,74.69,31466710,76.19,77.39,74.59
12/17/2014,76.11,29142380,75.01,76.41,74.9
12/18/2014,78.4,34147520,76.89,78.4,76.51
12/19/2014,79.88,43274930,78.75,80,78.33
12/22/2014,81.45,31361040,80.08,81.89,80
12/23/2014,80.61,19846990,82.02,82.17,80.4
12/24/2014,80.77,7685481,81.03,81.43,80.75
12/26/2014,80.78,10632810,81.02,81.28,80.51
12/29/2014,80.02,14101570,80.49,80.96,79.71
12/30/2014,79.22,14354170,79.85,80.59,79.1
12/31/2014,78.02,20004710,79.54,79.8,77.86
1/2/2015,78.45,18141830,78.58,78.93,77.7
1/5/2015,77.19,26392340,77.98,79.25,76.86
1/6/2015,76.15,27365180,77.23,77.59,75.37
1/7/2015,76.15,22015250,76.76,77.36,75.82
1/8/2015,78.18,23931830,76.74,78.23,76.08
1/9/2015,77.74,21146060,78.2,78.62,77.2
1/12/2015,76.72,19150390,77.84,78,76.21
1/13/2015,76.45,25149270,77.23,78.08,75.85
1/14/2015,76.28,25831690,76.42,77.2,76.03
1/15/2015,74.05,34058150,76.4,76.57,73.54
1/16/2015,75.18,21744680,74.04,75.32,73.84
1/20/2015,76.24,22765930,75.72,76.31,74.82
1/21/2015,76.74,25079200,76.16,77.3,75.85
1/22/2015,77.65,19491720,77.17,77.75,76.68
1/23/2015,77.83,16711610,77.65,78.19,77.04
1/26/2015,77.5,19229120,77.98,78.47,77.29
1/27/2015,75.78,19982990,76.71,76.88,75.63
1/28/2015,76.24,51281680,76.9,77.64,76
1/29/2015,78,60670160,76.85,78.02,74.21
1/30/2015,75.91,42540890,78,78.16,75.75
2/2/2015,74.99,41901530,76.11,76.14,73.75
2/3/2015,75.4,26921640,75.19,75.58,73.86
2/4/2015,75.63,20246640,75.09,76.35,75.01
2/5/2015,75.62,15002820,75.71,75.98,75.21
2/6/2015,74.47,21131450,75.68,75.7,74.25
2/9/2015,74.44,16182700,74.05,74.83,73.45
2/10/2015,75.19,15783750,74.85,75.34,74.5
2/11/2015,76.51,20817690,75.09,76.75,75.03
2/12/2015,76.23,17212100,76.86,76.87,75.89
2/13/2015,75.74,18487260,76.46,76.48,75.5
2/17/2015,75.6,25243920,75.3,76.91,75.08
2/18/2015,76.71,22410540,75.94,76.9,75.45
2/19/2015,79.42,45778750,76.99,79.84,76.95
2/20/2015,79.9,36904680,79.55,80.34,79.2
2/23/2015,78.84,24105020,79.96,80.19,78.38
2/24/2015,78.45,18871220,78.5,79.48,78.1
2/25/2015,79.56,25546020,78.5,80.2,78.5
2/26/2015,80.41,30980750,79.88,81.37,79.72
2/27/2015,78.97,30705140,80.68,81.23,78.62
3/2/2015,79.75,21645890,79,79.86,78.52
3/3/2015,79.6,18602170,79.61,79.7,78.52
3/4/2015,80.9,28057010,79.3,81.15,78.85
3/5/2015,81.21,27792840,81.23,81.99,81.05
3/6/2015,80.01,24457940,80.9,81.33,79.83
3/9/2015,79.44,18908230,79.68,79.91,78.63
3/10/2015,77.55,22965310,78.5,79.26,77.55
3/11/2015,77.57,20141490,77.8,78.43,77.26
3/12/2015,78.93,16069270,78.1,79.05,77.91
3/13/2015,78.05,18481750,78.6,79.38,77.68
3/16/2015,78.07,19289450,77.96,78.12,77.36
3/17/2015,79.37,22105760,78.36,79.78,78.34
3/18/2015,80.91,36732660,79.25,81.24,79.17
3/19/2015,82.75,42047570,81.12,83,81
3/20/2015,83.8,44405260,83.39,84.6,83.07
3/23/2015,84.43,27291310,83.92,84.96,83.3
3/24/2015,85.31,32507390,84.71,86.07,84.52
3/25/2015,82.92,37348640,85.5,85.52,82.92
3/26/2015,83.01,32754510,82.72,83.77,82.14
3/27/2015,83.3,18313110,83.38,83.95,82.88
3/30/2015,83.2,24506180,83.81,84.34,82.41
3/31/2015,82.22,19705200,82.9,83.5,82.21
4/1/2015,81.67,22028080,82.5,82.72,80.87
4/2/2015,81.56,19631440,82.25,82.56,81.44
4/6/2015,82.44,19008980,80.8,82.81,80.8
4/7/2015,82.32,17442950,82.65,83.42,82.22
4/8/2015,82.28,18936170,82.63,83.1,81.84
